firstName,lastName,birthDate,classNum
Kendra,Ellis,20.09.2017,3B
Sam,Richmond,24.07.2013,2A
Brock,Ramos,05.01.2018,3A
Claire,Peterson,08.09.2011,2A
Rodrick,Lott,22.06.2015,2B
Anita,Grimes,07.09.2017,5A
Leanna,Short,19.04.2015,2A
Adeline,Strickland,09.03.2013,5B
Philip,Mcmahon,13.11.2014,1B
Ursula,Morin,02.10.2018,4A
Lorraine,Rivas,12.04.2011,4A
Rosario,Smith,22.07.2017,2B
Loren,Donovan,03.09.2013,2A
Dudley,Morrow,24.09.2012,5A
Leann,Church,23.01.2014,3A
Deann,Lamb,10.10.2016,4B
Cindy,Barr,21.08.2014,1B
Brent,Owen,12.11.2013,3B
Miriam,Le,10.12.2015,1A
Hal,Bentley,02.01.2016,2A
Summer,Horne,08.01.2018,2A
Gabrielle,Harrell,19.11.2013,2B
Stacey,Marshall,22.09.2011,4B
Jamar,Calhoun,20.10.2011,1A
Nannie,Hall,20.06.2015,5A
Sheldon,Cain,09.11.2015,4B
Jonah,Flynn,27.08.2013,3B
Alphonse,Roberts,28.03.2016,3A
Clifton,Mayer,10.12.2018,1A
Wade,Whitfield,17.06.2010,5B
Carter,Barron,04.02.2018,2A
Austin,Mcdonald,24.10.2016,3B
Olive,Nolan,19.05.2010,4A
Ernesto,Parsons,24.12.2017,1B
Cornelia,Bradshaw,17.06.2010,1B
Lillie,Moss,11.06.2012,1A
Liliana,Morrow,12.05.2011,5A
Manuel,Stout,03.06.2011,2A
Monty,Lowe,22.08.2014,3A
Muriel,Anthony,20.03.2014,2B
Jolene,Griffith,09.07.2016,5B
Frederick,Dyer,04.05.2015,4B
Jan,Sosa,26.05.2011,3B
Zelma,Hart,18.08.2018,2B
Dee,Skinner,14.06.2013,5A
Ismael,Padilla,12.07.2015,1A
Saundra,Clayton,22.04.2017,4A
Vince,Delaney,19.03.2013,5A
Jana,Duffy,16.01.2015,5B
Chang,Hess,03.03.2013,4A
Tim,Wall,22.05.2012,3A
Roxanne,Bruce,28.10.2012,5B
Tracy,Austin,28.02.2018,4B
Lorrie,Morgan,02.02.2016,4B
Lee,Cummings,05.12.2012,2B
Warren,Barnett,04.11.2017,5A
Lilian,Doyle,18.01.2011,3A
Bob,Peters,24.05.2018,2A
Lelia,Farley,14.12.2017,5B
Savannah,Wilder,22.09.2012,3B
Mamie,Sims,09.01.2010,4A
Luann,Booker,01.12.2013,3B
Leslie,Morrow,17.10.2010,3B
Ora,Gillespie,06.01.2010,4B
Billie,Spears,04.08.2018,1B
Ernie,Potter,17.12.2016,4A
Sammie,Obrien,22.08.2013,2B
Dee,Duran,25.08.2014,4B
Jimmie,Cote,28.03.2016,3B
Fabian,Miles,24.01.2018,2A
Xavier,Forbes,16.06.2016,2B
Araceli,Aguirre,04.06.2013,1B
Luann,Mcclain,14.08.2010,3B
Madeline,Mccray,20.05.2016,5A
Josephine,Craft,24.07.2015,3A
Fritz,Singleton,17.09.2013,4B
Toni,Alford,18.11.2015,5A
Adrienne,Gray,02.04.2011,3A
Gwendolyn,Blake,22.03.2015,3B
Scott,Lopez,23.03.2012,2A
Michael,Livingston,18.07.2010,2B
Emery,Warner,07.04.2014,2B
Carmen,Maddox,14.09.2017,1A
Lane,Larsen,12.09.2010,4A
Celeste,Quinn,09.06.2015,5B
Jeannie,Cole,13.04.2013,4B
Geraldine,Mcclain,25.07.2014,5B
Tim,Everett,19.04.2016,1B
Elmo,Strong,14.04.2013,2A
Howard,Hunter,26.04.2015,5A
Saul,Ford,04.05.2014,2A
Aida,Luna,10.08.2018,2B
Twila,Maynard,19.11.2012,4B
Felix,Heath,11.07.2012,1B
Lena,Crosby,28.04.2010,1B
Arlene,Peters,14.11.2018,2B
Roscoe,Norton,24.10.2015,2B
Wade,Baldwin,09.03.2013,5B
Mariano,Hurst,21.11.2013,1B
Milton,Hays,20.02.2017,5B
Maurice,Hoffman,09.08.2015,3B
Brandy,Bell,01.01.2012,1A
Scott,Little,02.07.2010,4B
Bernie,Wallace,21.02.2017,5A
Jessie,Rasmussen,19.07.2017,1A
Russel,Mccray,03.02.2011,2A
Gavin,Sampson,04.06.2018,2B
Monty,Duffy,07.03.2014,2B
Sheri,Huffman,01.09.2016,3A
Jeannie,Gamble,02.10.2013,5B
Leanne,Walls,20.10.2011,2B
Patricia,Larson,20.04.2018,3B
Tyree,Lane,08.02.2012,4B
Mamie,Knowles,10.12.2014,2B
Geneva,Preston,04.12.2010,5B
Rick,Bolton,18.07.2010,1A
Josh,Cooper,15.07.2016,4B
Todd,Sanders,20.06.2013,3A
Jody,Arnold,04.08.2018,2A
Jesus,Walton,14.04.2011,3A
Odis,Simmons,06.06.2015,3B
Michele,Short,08.02.2012,2A
Jackie,Juarez,11.09.2011,3A
Mariana,Roberts,24.11.2011,1B
Pamela,Cabrera,13.05.2012,4A
Antone,Buchanan,10.01.2010,3B
Nell,Stephenson,08.01.2016,1B
Bernardo,Warren,18.02.2012,1A
Carmen,Bowman,24.05.2013,2B
Brett,Mcknight,12.08.2011,3A
Howard,Marshall,28.12.2018,2B
Jeannine,Wong,22.09.2013,1A
Tricia,Holden,04.12.2017,2A
Beatriz,Wong,25.02.2017,4B
Abigail,George,23.09.2017,2B
Benita,Good,02.10.2017,5A
Ana,Bailey,12.09.2014,4A
Dina,Henry,06.04.2013,3A
Rosario,Adkins,05.08.2014,1B
Marina,Hahn,03.09.2013,1B
Loyd,Cain,12.03.2014,4B
Timothy,Hardy,26.01.2011,2B
Micah,Ratliff,13.01.2012,2A
Angelo,Davis,03.08.2017,4B
Erica,Chapman,21.10.2012,4B
Leslie,Pugh,18.07.2011,1B
Kenny,Sloan,06.08.2017,5B
Blanche,Park,20.04.2018,5B
Basil,Harper,13.10.2015,5A
Annie,Burgess,09.06.2012,4B
Adam,Nicholson,04.03.2018,3B
Lonnie,York,11.10.2014,1B
Bridgette,Hickman,23.04.2010,5A
Jarred,Murray,06.09.2011,4A
Martha,Santiago,01.03.2018,3B
Chris,Joyner,12.02.2015,4B
Jeanette,Hill,18.03.2017,1B
Randy,Cardenas,14.02.2017,5B
Alison,Mcfarland,10.07.2016,5A
Corrine,Figueroa,26.06.2018,4B
Greg,Simon,23.06.2018,2A
Cathryn,Macias,11.12.2014,4A
Gabriel,Greer,20.09.2012,4A
Lee,Peterson,22.10.2012,5B
Alice,Matthews,04.01.2014,3B
Eleanor,Bartlett,26.12.2017,3A
Sal,Bass,28.05.2014,2B
Shelley,Bonner,03.01.2013,5B
Rodrick,Kent,20.04.2018,4B
Jeannine,Mcmillan,03.12.2015,5B
Denis,Richardson,12.12.2015,4B
Christian,Stevenson,15.11.2017,4B
Valerie,Sanders,26.11.2018,3B
Faustino,West,13.06.2013,5B
Zelma,Wise,06.12.2011,3B
Steve,Pearson,02.08.2014,1B
Aline,Powell,23.06.2012,2A
Sophia,Bell,19.03.2012,1B
Beatriz,Alvarado,05.04.2011,2A
Rosanne,Knapp,08.07.2017,2A
Margaret,Haley,09.02.2016,2B
Frank,Lindsey,26.04.2016,4B
Bernice,Guerrero,03.09.2011,4A
Suzanne,Silva,11.10.2018,2A
Reggie,Daugherty,11.06.2012,4A
Enid,Greer,05.08.2014,4B
Faye,Hoover,06.11.2017,4A
Lindsey,Mathews,17.09.2014,1A
Julia,Robertson,12.02.2018,4B
Teddy,Stein,27.05.2011,3A
Ignacio,Carroll,27.05.2017,2B
Arlene,Wall,10.02.2015,1A
Edmund,Norman,23.02.2013,3A
Iva,Olson,07.06.2012,1A
Julie,Church,10.10.2017,1A
Dylan,Giles,09.04.2010,3A
Julio,Mccarty,08.11.2015,2B
Sadie,Whitehead,08.11.2017,2B
Charlotte,Caldwell,09.06.2013,4B
Lea,Hines,27.01.2017,4A
