firstName,lastName,birthDate,post
Javier,Melendez,23.06.1974,Кассир
Hector,Chavez,19.09.1973,Консультант
Ned,Conley,17.05.1986,Кассир
Jenifer,Travis,10.12.1982,Уборщик
Socorro,Mathis,11.04.1975,Менеджер
Elmer,Ratliff,22.12.1971,Менеджер
Matthew,Hendrix,27.09.1974,Уборщик
Sally,Burks,17.11.1971,Менеджер
Doyle,Mills,19.11.1982,Директор
Michael,Cunningham,11.04.1983,Кассир
Johnathon,Ruiz,06.08.1978,Директор
Ina,Whitehead,20.05.1976,Уборщик
Wanda,Carver,05.02.1996,Менеджер
Vicente,Hartman,18.10.1975,Менеджер
Margaret,Gentry,11.09.1996,Менеджер
Annie,Dickerson,21.07.1989,Кассир
Vickie,William,12.09.1979,Кассир
Nicolas,Franks,22.12.1979,Консультант
Porfirio,Slater,19.03.1983,Уборщик
Priscilla,Finch,19.08.1979,Директор
Michael,Gardner,01.06.1981,Менеджер
Eva,Fitzgerald,09.08.1988,Кассир
Dorothy,Vaughan,07.02.1991,Кассир
Erika,Kennedy,05.03.1997,Уборщик
Rod,Ray,16.06.1981,Директор
Leah,Nelson,18.09.1983,Уборщик
Jamie,Lyons,04.07.1977,Консультант
Donovan,Bush,14.06.1974,Консультант
Margo,Downs,21.06.1994,Консультант
Berta,Duran,19.11.1982,Директор
Marcy,Hanson,15.03.1996,Консультант
Garth,Prince,25.12.1970,Менеджер
Evan,Benson,23.05.1983,Директор
Kelly,Murray,08.08.1991,Менеджер
Phillip,Johns,26.11.1998,Уборщик
Rene,Sheppard,23.07.1994,Консультант
Raymond,Sexton,23.05.1974,Уборщик
Eliza,Scott,15.03.1992,Менеджер
Kendall,Robertson,02.07.1981,Консультант
Carly,Pollard,18.07.1977,Кассир
Anderson,White,27.11.1989,Менеджер
Joni,Dunlap,10.03.1990,Директор
Leroy,Santana,06.11.1991,Уборщик
Efren,Webster,20.05.1977,Менеджер
Gilda,Rivas,20.02.1982,Менеджер
Joesph,Landry,28.12.1973,Консультант
Margret,Ferguson,19.09.1996,Кассир
Darryl,Whitley,23.08.1981,Кассир
Lucille,Stanton,26.06.1975,Уборщик
Mary,Donovan,16.11.1993,Директор
Jenifer,Carr,28.08.1997,Менеджер
Carl,Joyner,15.07.1980,Уборщик
Kim,Henry,16.07.1993,Консультант
Amber,Ball,09.04.1971,Уборщик
Kermit,Franklin,24.02.1994,Директор
Fernando,Dickson,12.09.1985,Консультант
Veronica,Giles,10.05.1981,Уборщик
Cheryl,Cotton,20.09.1977,Кассир
Thanh,Gordon,05.10.1992,Консультант
Ahmed,Barry,08.03.1999,Кассир
Mindy,Wagner,04.08.1971,Кассир
Kendall,Marks,04.03.1981,Директор
Brenton,Britt,12.04.1985,Уборщик
Janie,Stokes,17.04.1997,Директор
Richie,Garcia,05.09.1999,Консультант
Lucio,Holmes,04.07.1995,Консультант
Clare,Simmons,04.09.1986,Менеджер
Nelda,Fulton,02.02.1974,Директор
Olen,Higgins,07.09.1970,Кассир
Alec,Kennedy,23.12.1999,Кассир
Dewey,Chambers,24.05.1983,Директор
Clarice,Faulkner,01.05.1970,Кассир
Christopher,Zamora,25.03.1996,Директор
Jenifer,Ryan,24.08.1970,Менеджер
Tracy,Marquez,06.02.1985,Директор
Agustin,Malone,24.02.1982,Менеджер
Dolly,Britt,02.10.1993,Директор
Verna,Garcia,12.08.1977,Уборщик
Joey,Haley,12.04.1997,Директор
Claudia,Bates,26.04.1986,Кассир
Dana,Snyder,15.07.1998,Менеджер
Fernando,Compton,16.05.1995,Кассир
Jan,Good,10.01.1999,Уборщик
Minerva,Ruiz,01.09.1975,Менеджер
Kristen,Holden,21.05.1987,Консультант
Carolyn,England,17.12.1991,Директор
Jaclyn,Rush,26.10.1988,Уборщик
Flora,Brown,21.10.1982,Директор
Rosa,Bentley,19.04.1981,Кассир
Pamela,West,04.06.1970,Менеджер
Saul,Mcdonald,19.07.1997,Директор
Terry,Burgess,25.11.1997,Консультант
Marisol,Soto,22.05.1972,Директор
Dave,Horne,17.04.1992,Консультант
Penny,Watson,10.12.1980,Кассир
Santos,Holmes,10.12.1971,Уборщик
Jodi,Witt,18.03.1987,Кассир
Willa,Fisher,01.05.1996,Кассир
Warren,Foley,23.09.1971,Директор
Ana,Mathews,06.09.1975,Менеджер
